E2F1,E2F1errors,E2F4,E2F4errors
-0.058094474,0.009220703,-0.248002818,0.009420166
0.032726252,0.00777029,-0.258618949,0.009284737
-0.152216079,0.010441589,-0.345749229,0.004096036
0.026728666,0.01012793,-0.169867941,0.009134735
0.001633612,0.007705178,-0.29861045,0.006197732
0.00805388,0.008288473,-0.184864659,0.005065048
-0.188809776,0.005593784,-0.331411596,0.007272094
0.02826665,0.009110092,-0.207352232,0.009488565
-0.056883595,0.008640026,-0.285311139,0.008210682
-0.074101475,0.008816859,-0.242311449,0.006536439
-0.130788515,0.006610904,-0.334315435,0.007007109
0.110917951,0.008305584,-0.160300914,0.006405732
-0.02915022,0.007667968,-0.31299077,0.008625981
-0.095874093,0.012162518,-0.266545488,0.006351855
-0.141407991,0.006759898,-0.291506647,0.008914828
0.115576669,0.008421278,-0.151196031,0.007577686
-0.005516793,0.007056301,-0.282365985,0.007733216
-0.048006128,0.007687038,-0.257640282,0.007578734
-0.162347017,0.009445534,-0.303055651,0.007690107
0.065014303,0.00904684,-0.179177019,0.00684407
-0.035360754,0.005957309,-0.297228727,0.007593111
-0.068234818,0.008330858,-0.243882703,0.006233627
-0.109024361,0.00869396,-0.230246517,0.009899093
0.061764298,0.007262914,-0.250880991,0.006345034
0.03214934,0.00701681,-0.27434987,0.007912924
-0.071705467,0.005874595,-0.229799576,0.008631361
-0.142092859,0.007612534,-0.289126001,0.00428823
0.030793352,0.011853587,-0.22896349,0.008824889
0.00602869,0.011224434,-0.289771486,0.005783609
-0.102300277,0.008173347,-0.246693989,0.007885427
-0.138600931,0.008069913,-0.280694653,0.006192051
0.084016884,0.00874014,-0.205078809,0.009618115
0.05193182,0.008305576,-0.258296523,0.008536587
-0.082686732,0.009329937,-0.201565357,0.008775214
-0.163914297,0.012525895,-0.276922052,0.007528842
0.043813575,0.009939753,-0.285455005,0.008376152
0.125509284,0.009659624,-0.285726247,0.008450646
-0.187260647,0.007409002,-0.24403701,0.00529789
-0.102397892,0.008448766,-0.233106792,0.009147698
0.013293621,0.010691176,-0.259368888,0.00866932
0.255894023,0.012946098,-0.209179555,0.005477448
-0.372838992,0.009346184,-0.336208587,0.006237236
-0.283631849,0.00677905,-0.292918018,0.009049783
0.249721183,0.006883777,-0.183932778,0.007165917
0.288108708,0.009894314,-0.022963513,0.005626899
-0.538298462,0.009443809,-0.592276885,0.006880135
-0.257854134,0.008524439,-0.361564854,0.007984844
0.357188254,0.007538463,-0.045433686,0.005397535
0.335399004,0.007162581,0.019670011,0.00514856
-0.667221349,0.009917613,-0.688721817,0.00960111
-0.412814537,0.009720718,-0.085147717,0.007944355
0.593781248,0.011375889,-0.268039415,0.005236974
0.194187405,0.006108623,-0.35634459,0.005598607
-0.61672415,0.008357765,-0.284916832,0.004855715
0.118173078,0.009013148,-0.341466279,0.008783822
0.153508032,0.010815668,-0.039511236,0.009653667
-0.147593174,0.008248717,-0.467647559,0.008349409
0.145870079,0.00795434,-0.049890524,0.006180646
0.795819654,0.007000917,0.34413416,0.005477547
-0.944952192,0.008369069,-0.848835015,0.005860608
-1,0,-0.625391218,0.013910722
0.746527803,0.00709805,0.173777539,0.006038302
0.312638314,0.010520907,0.092962372,0.007064752
-0.210021752,0.009512071,-0.66358763,0.006087173
0.004829649,0.010428148,-0.149811498,0.008583074
0.45115471,0.005893755,0.068844087,0.006643976
-0.698954273,0.013067631,-0.519409478,0.005830952
0.09211428,0.008082744,-0.421862049,0.007957452
0.433493445,0.010444805,-0.341171469,0.00734973
-0.388102065,0.008679429,-0.135111544,0.00582743
-0.623293454,0.014269633,-0.605954606,0.010490169
0.42704644,0.009964014,0.059998681,0.005457731
0.296855107,0.009043185,-0.139885003,0.005990244
-0.211761576,0.009050268,-0.373088019,0.006367006
-0.46840247,0.009408216,-0.488011361,0.00716155
0.232453304,0.006138941,-0.021254554,0.008309245
0.23466155,0.008351841,-0.145618195,0.008184213
-0.263574028,0.007788603,-0.259013482,0.006523367
-0.400357504,0.010061884,-0.346310448,0.010313919
0.278414347,0.006318226,-0.271296812,0.005797063
-0.04302119,0.010266695,-0.341086919,0.008796536
-0.076436309,0.007484323,-0.215083534,0.00763092
-0.180710912,0.008079925,-0.188391883,0.007659994
0.149312776,0.009198431,-0.277676601,0.005386124
0.021286512,0.008007791,-0.213990036,0.006464768
-0.107751046,0.006596712,-0.276124746,0.009765911
-0.10312605,0.009362303,-0.254890244,0.006974113
0.03873495,0.010497524,-0.277233911,0.007149723
-0.015396248,0.004513652,-0.286101954,0.008554941
-0.113101271,0.011560838,-0.264623996,0.007530666
-0.060850068,0.008273607,-0.206146742,0.006572364
0.038491953,0.009433898,-0.265366245,0.007585415
0.05197075,0.012242624,-0.244241783,0.006876174
-0.083379473,0.006320147,-0.231165581,0.007506239
-0.087187592,0.00883031,-0.232958045,0.006815473
-0.03225932,0.005450157,-0.313873528,0.010908026
0.053044103,0.010597617,-0.261874564,0.006463635
-0.091670373,0.006199992,-0.270901783,0.0077693
-0.08238274,0.009978996,-0.217147439,0.007121852
-0.029846625,0.00704486,-0.272315151,0.005858821
0.059539935,0.008853063,-0.174447998,0.006263211
-0.137650359,0.006733125,-0.323537399,0.006601992
-0.080197637,0.006689761,-0.249721994,0.00842763
0.007452426,0.011082199,-0.274531546,0.008506298
0.113961852,0.008802679,-0.26369812,0.006996699
-0.126158609,0.008593955,-0.217347756,0.008156682
-0.142481339,0.007706904,-0.280195228,0.00648181
0.003822461,0.006934857,-0.260997834,0.007984044
0.082757653,0.00883321,-0.161658726,0.008080173
-0.125943585,0.008385414,-0.35852276,0.007820063
-0.072323029,0.007517129,-0.204477155,0.00668769
-0.035346673,0.008937892,-0.297580296,0.005910429
0.104727254,0.008695755,-0.175333687,0.008993472
-0.176384407,0.008925006,-0.292445082,0.007056529
-0.08514629,0.008751558,-0.289510937,0.009196116
0.005947809,0.00987015,-0.264949231,0.006629154
0.052587997,0.011529521,-0.160261725,0.006563517
-0.090139234,0.006639256,-0.309076105,0.009056291
-0.024975107,0.009366591,-0.285311279,0.005090068
-0.08832929,0.00674581,-0.267589828,0.007471124
-0.067025026,0.019485879,-0.210201445,0.012211699
-0.12844065,0.016606324,-0.348956787,0.009871549
0.017125904,0.014567106,-0.298028989,0.008756308
0.040062692,0.011929293,-0.247656853,0.008747007
-0.03750486,0.012002421,-0.279422362,0.008780246
0.044816277,0.018919921,-0.129414739,0.00718391
-0.032592042,0.018459715,-0.136017158,0.012953379
-0.038713457,0.015448827,-0.248563787,0.011100766
0.051401811,0.012594897,-0.233192355,0.011766081
-0.064928954,0.005641773,-0.269467738,0.008999824
-0.073282708,0.011610018,-0.308220093,0.016815884
-0.05042249,0.016141428,-0.297383624,0.014618823
-0.007094143,0.006551041,-0.258183198,0.008441216
-0.1909651,0.018410623,-0.270962766,0.011914203
0.035372147,0.015144057,-0.275858128,0.010083271
-0.121612504,0.017330455,-0.269868811,0.012474287
0.017256288,0.019543258,-0.387297575,0.012470315
0.068816777,0.019574862,-0.215668533,0.014155165
-0.126430043,0.020544582,-0.193965489,0.011544818
-0.086772624,0.011489783,-0.251231249,0.011605927
0.012702521,0.018181087,-0.304162403,0.012916018
0.094535248,0.005270305,-0.299666167,0.013834844
-0.078461424,0.013874278,-0.315548312,0.012830901
0.118115359,0.014769819,-0.239689075,0.01269184
-0.154689603,0.016824498,-0.245054618,0.008551807
-0.090449569,0.023054733,-0.224232672,0.011676481
-0.086573847,0.013713646,-0.243570183,0.013265281
-0.057715058,0.012238765,-0.138200638,0.014224228
-0.058784088,0.008669306,-0.298286689,0.015951836
-0.075205915,0.009440462,-0.285059066,0.01643608
-0.062396023,0.013751195,-0.219817728,0.013306227
0.033069626,0.01560118,-0.230564567,0.012904087
-0.088455278,0.017715259,-0.213195504,0.014200152
-0.027329874,0.01477005,-0.237733693,0.009699889
-0.079177856,0.01797189,-0.328001739,0.013890695
0.176634582,0.013921161,-0.229018676,0.019622535
-0.037176221,0.012423278,-0.198329075,0.00864306
-0.15434972,0.007757632,-0.353691759,0.007806062
-0.108537045,0.012430091,-0.269841035,0.014396468
-0.267327648,0.012792576,-0.19436545,0.013572824
-0.009298957,0.013611443,-0.257091688,0.011178081
-0.134952004,0.012997143,-0.32363352,0.01434465
0.042105086,0.015708412,-0.442301675,0.010387651
0.045255195,0.010973015,-0.300727453,0.006919621
-0.013952453,0.020535459,-0.158569658,0.017299803
0.012577743,0.020168601,-0.272181429,0.011023805
-0.002311096,0.020634755,-0.116588935,0.010936613
-0.07162916,0.017978791,-0.283873954,0.010331068
-0.05511127,0.016400831,-0.162905182,0.015231894
-0.144029955,0.01383167,-0.283085204,0.009303408
0.070835541,0.01440059,-0.164125481,0.013575557
-0.152034224,0.025525183,-0.360934065,0.008048967
-0.0316691,0.017120455,-0.276583404,0.01521264
0.110269132,0.013242897,-0.163897779,0.013112816
0.037847543,0.019046095,-0.274803948,0.009919758
-0.189609312,0.02318796,-0.334264222,0.013858405
-0.165362118,0.015460914,-0.324576949,0.013879077
0.053730447,0.017240828,-0.197480109,0.013091067
-0.143785642,0.011711093,-0.238458583,0.011195721
0.084450005,0.01782839,-0.121215714,0.010688667
0.022170273,0.017331129,-0.31165505,0.008354357
-0.013903986,0.016852849,-0.200575503,0.014639627
-0.106235638,0.013557286,-0.342563972,0.009257789
0.08345834,0.02133117,-0.246138791,0.011549958
-0.015617287,0.015448641,-0.227286787,0.017364282
0.025576178,0.012263532,-0.223452894,0.012540113
-0.151265617,0.014009934,-0.284594084,0.015018354
-0.052028559,0.019703495,-0.238265942,0.009806733
-0.007455682,0.020107178,-0.293367312,0.013618348
-0.160494007,0.014417247,-0.27779973,0.013113286
0.030016238,0.019056809,-0.240394222,0.01305217
-0.093050252,0.017961476,-0.273882952,0.010806551
-0.062532308,0.013657764,-0.194701106,0.018820038
0.010563936,0.009179306,-0.269673501,0.01107945
-0.192849979,0.011502777,-0.268870051,0.012885721
0.127171896,0.016925593,-0.25087704,0.009847875
-0.016903856,0.015621173,-0.252142825,0.011947686
-0.004004491,0.019011651,-0.247534177,0.011740438
-0.045124222,0.015255703,-0.275322787,0.010908508
0.043922996,0.010166794,-0.313841054,0.011530856
-0.010023427,0.012123161,-0.235132861,0.015349918
-0.099671108,0.011842232,-0.267120986,0.014902905
-0.027223394,0.012137093,-0.361209174,0.008627325
0.043270268,0.015537829,-0.195034223,0.009931393
-0.020996232,0.016258731,-0.227778649,0.01656251
-0.051487908,0.011841524,-0.333039182,0.010259072
0.145320163,0.011400352,-0.158753598,0.011987684
0.022434914,0.017380112,-0.227099015,0.016337549
0.010456273,0.020920403,-0.235626316,0.014411676
-0.021430469,0.014701826,-0.25456753,0.011214943
-0.124629736,0.015071507,-0.268093468,0.010670956
-0.046139036,0.021081325,-0.237923139,0.008092308
-0.118205313,0.015313632,-0.254950841,0.009004467
-0.076702956,0.008514716,-0.302404446,0.013129026
-0.089856232,0.016126723,-0.253152682,0.013567412
-0.092770558,0.008819954,-0.206374565,0.015674223
-0.126764679,0.016071463,-0.299767666,0.013276404
-0.076388088,0.012922088,-0.219510786,0.011926933
-0.073522241,0.017249211,-0.253807372,0.012318016
-0.001273859,0.018676141,-0.286829784,0.009086645
-0.00687601,0.015825357,-0.210184535,0.008948078
-0.030897682,0.007033025,-0.305200996,0.007961163
-0.076478276,0.014318812,-0.29837094,0.013423249
-0.122348112,0.013356267,-0.201057569,0.013540735
-0.103571265,0.019301645,-0.365014929,0.013990076
-0.137558226,0.010117005,-0.243349631,0.009964965
0.118623612,0.017098941,-0.25837365,0.013426085
-0.139031232,0.012591378,-0.365812324,0.01574939
-0.041512358,0.010395447,-0.2721124,0.01484171
0.095630591,0.015252999,-0.238348792,0.009807607
-0.030060071,0.008872726,-0.193958977,0.014329184
-0.002490509,0.010290336,-0.15310726,0.008030915
0.053530247,0.015258097,-0.280730997,0.008754117
-0.026744576,0.01073958,-0.242581975,0.008400148
-0.032584252,0.009191036,-0.238707927,0.015827638
-0.05186183,0.012158708,-0.264673697,0.008768226
-0.147528032,0.008537723,-0.27799273,0.014596802
0.047319323,0.014383967,-0.203210695,0.017714764
-0.142483541,0.019554479,-0.263126004,0.009106254
-0.024805008,0.009301826,-0.284449334,0.01431968
-0.043737098,0.016855146,-0.263982669,0.005868794
-0.0798249,0.01833679,-0.23611628,0.008925435
-0.001949172,0.012049951,-0.308988917,0.011487134
-0.010059442,0.014434092,-0.145740898,0.013318924
