E2F1,E2F1errors,E2F4,E2F4errors
1.91E-02,0.004158566,-5.05E-02,0.011650877
0.022014858,0.020005162,0.02424045,0.02562844
-0.06902059,0.016103257,-0.008764564,0.023909324
-0.021545942,0.020526943,-0.036319963,0.02663084
-0.049674339,0.016876379,-0.096708499,0.028295447
-0.022468444,0.017624748,0.021919821,0.014575535
-0.067860123,0.016160975,-0.020532785,0.034067497
0.075094085,0.016377853,-0.00152424,0.021939533
-0.040576757,0.018311941,-0.193344464,0.027900681
-0.057109628,0.017106433,0.027735859,0.029348845
-0.067229736,0.017955887,-0.071033996,0.021755827
0.100007301,0.011711133,0.139796898,0.019359906
0.105735984,0.017455454,0.083981866,0.019949152
-0.134506971,0.015931078,-0.058693268,0.019397538
-0.145640017,0.018016152,-0.053907995,0.033257232
0.109502184,0.014379719,-0.068226306,0.024373589
-0.000431014,0.017898112,-0.151006071,0.02763735
-0.129977136,0.016324249,0.017892771,0.024465192
-0.091524728,0.018241134,-0.077240068,0.032666555
0.157024058,0.015103929,0.113507666,0.018830591
0.027866596,0.014929319,-0.018775871,0.028496849
-0.032325784,0.020798816,0.040788531,0.020142976
-0.103014112,0.017184004,-0.01603614,0.024359753
0.04256448,0.016075748,-0.102822223,0.02529291
-0.076558501,0.018800611,-0.172421329,0.024368536
-0.01892012,0.02113071,0.005097857,0.025619686
-0.076998928,0.014358849,-0.023089744,0.029862897
0.107568729,0.013240457,0.093567514,0.021366661
0.011986932,0.02227221,-0.010387405,0.025223361
-0.074792715,0.016399113,0.047410957,0.026042617
-0.089030327,0.015252728,-0.073771496,0.031696193
0.08692729,0.012319799,-0.060097759,0.015619704
0.103058971,0.012824028,-0.093888414,0.021613219
-0.147030317,0.01875626,0.029186014,0.023818809
-0.046571819,0.018700901,0.025069347,0.024337377
0.025634344,0.015891652,-0.05721265,0.031230362
0.215474482,0.015675459,-0.045109102,0.025128577
-0.256706236,0.016847593,-2.33E-02,0.020751624
0.001844953,0.020275253,0.095159485,0.023312799
-0.025522019,0.015442109,-0.123640856,0.02962818
0.370491379,0.018638492,0.079206698,0.026349764
-0.430173815,0.021961267,-0.232766277,0.022850516
-0.262643471,0.020633952,-0.130283186,0.023169419
0.257417086,0.016036567,0.186997062,0.029602447
0.262996712,0.014338814,0.405943258,0.018429811
-0.437328307,0.024379171,-0.446187303,0.034311893
-0.291768615,0.022115088,-0.376034418,0.031718422
0.40119139,0.015218908,0.319432759,0.018694655
0.322484618,0.011377052,0.477999913,0.020925203
-0.470396817,0.02092053,-0.633156685,0.041622454
-0.37918777,0.025362176,0.22915839,0.019207354
