E2F1,E2F1errors,E2F4,E2F4errors
-0.112937319,0.006512009,-0.276739681,0.021708563
-0.091554773,0.011606402,-0.156648264,0.014193244
-0.193943724,0.010898069,-0.196975985,0.017925704
-0.140765427,0.016610392,-0.228715984,0.016323231
-0.171929729,0.007518363,-0.300162707,0.014902616
-0.141789963,0.01190459,-0.162015057,0.015333906
-0.19252119,0.008849926,-0.208293301,0.018904172
-0.032960361,0.012895959,-0.188608849,0.017231113
-0.161832385,0.011005803,-0.416095316,0.02104411
-0.180468397,0.010205122,-0.151883826,0.016977857
-0.191622473,0.009998809,-0.270852923,0.012084635
-0.005277987,0.006951491,-0.02024785,0.010019931
0.001660461,0.011389457,-0.086784287,0.012185807
-0.266986488,0.007100232,-0.256728409,0.013104213
-0.27921368,0.008683009,-0.248587942,0.020707824
0.005338464,0.011359978,-0.266979275,0.012501009
-0.116853548,0.00950165,-0.364957881,0.015362222
-0.261958596,0.008870893,-0.165140627,0.017957019
-0.219067721,0.013544381,-0.275657987,0.014540116
0.058678622,0.010720268,-0.053323419,0.022245191
-0.085849985,0.011290296,-0.207040082,0.012263949
-0.152276757,0.012284888,-0.138046987,0.011114407
-0.231968578,0.012248709,-0.204972293,0.013941328
-0.069105923,0.010572357,-0.309020553,0.021794774
-0.202329849,0.014448776,-0.391235425,0.015513678
-0.137035654,0.010590078,-0.179653662,0.01528146
-0.20291072,0.007830301,-0.212230484,0.016116378
0.00307498,0.010547745,-0.075960343,0.019348044
-0.102344204,0.012208852,-0.198384427,0.016604696
-0.200818005,0.015032528,-0.128466894,0.008649948
-0.216238005,0.00734373,-0.272682982,0.020381973
-0.01980103,0.006527147,-0.259545612,0.017083228
-0.001769072,0.007658889,-0.29803516,0.011762941
-0.280763146,0.009978481,-0.151735049,0.017941976
-0.168801667,0.014359927,-0.156617492,0.0185833
-0.087867358,0.007284257,-0.252692213,0.018024618
0.12428872,0.009740939,-0.238937083,0.0084723
-0.403855101,0.012098614,-2.15E-01,0.019412378
-0.11438138,0.014378372,-0.073309961,0.017547865
-0.145253481,0.008800468,-0.331697287,0.013118684
0.296781257,0.019692449,-0.090872009,0.013159261
-0.597343761,0.015148276,-0.463542855,0.017758627
-0.409843863,0.011045719,-0.341661121,0.017999416
0.171205123,0.011124143,0.03699607,0.02229021
0.176710916,0.013753239,0.29603213,0.012347779
-0.604764881,0.013254858,-0.714789749,0.014910934
-0.44220288,0.011253357,-0.632680837,0.023123378
0.331055601,0.015686681,0.192358541,0.017518127
0.243610899,0.005489068,0.380135453,0.023838616
-0.642748209,0.017799743,-0.935487634,0.01663869
-0.539646225,0.013819687,0.084123369,0.021894156
0.399582292,0.009623865,-0.387851103,0.02191954
-0.133298379,0.011918411,-0.64056386,0.017858718
-0.711691165,0.014239769,-0.651456928,0.013327148
0.221575833,0.013046181,0.072881119,0.008345368
0.084212469,0.008587959,0.360059754,0.025218349
-0.239395918,0.010766898,-0.471603075,0.022487089
-0.119103534,0.011671374,0.139374791,0.008427914
0.110447499,0.011410383,-0.146334578,0.013600687
-0.29114929,0.01840624,-0.380517053,0.027192701
-1,0,-0.909216697,0.022461931
-0.065588909,0.013127975,-0.370076555,0.014194115
0.339283389,0.008674308,0.71425551,0.01795433
0.187104277,0.010160089,-0.294042172,0.014144454
-0.099474143,0.005635219,-0.101980956,0.019110127
-0.081166988,0.011970846,-0.067523656,0.018345751
-0.678477068,0.008517145,-0.455553658,0.018625656
0.319916956,0.016538034,-0.234021645,0.015344191
0.449365571,0.017591037,0.054837578,0.018478334
-0.531113475,0.012654444,-0.303836004,0.014515315
-0.565214159,0.010402468,-0.602540733,0.018688235
0.10776082,0.012042071,-0.007540756,0.015979317
0.2004546,0.012025183,-0.049725801,0.018737416
-0.449405881,0.011562566,-0.437889867,0.011425958
-0.506319458,0.009877983,-0.655071252,0.011969183
0.216069496,0.016945688,0.283607005,0.020364084
0.036010731,0.015593662,-0.138087083,0.021759658
-0.428949755,0.00753021,-0.276073576,0.013908846
-0.393281883,0.00849722,-0.33333003,0.01550819
0.247019663,0.014195342,-0.111589226,0.011985452
-0.102880487,0.016988199,-2.15E-01,0.013368522
-0.343496461,0.010812268,-0.247756508,0.018412413
-0.247163889,0.01000074,-0.293828147,0.014010679
0.154339593,0.011326893,-0.102260076,0.014590216
0.013823116,0.012754824,-0.242428832,0.008617122
-0.343871354,0.004825657,-0.205956949,0.019991016
-0.201272474,0.013252103,-0.20760663,0.01407795
-0.007880532,0.010179977,-0.203087504,0.010693768
0.002770745,0.013212327,-0.118015621,0.008089751
-0.269192595,0.020528312,-0.312393306,0.021835887
-0.209954859,0.006680849,-0.200231484,0.01903355
-0.062824534,0.009181962,-0.228439503,0.017965093
0.012760557,0.010202639,-0.127843306,0.026144385
-0.25782301,0.012139435,-0.179511637,0.021074635
-0.178148427,0.016125208,-0.222930825,0.01402491
-0.115990362,0.008996012,-0.328794146,0.01267211
-0.028411228,0.013824191,-0.24258735,0.014449043
-0.275341529,0.009250493,-0.164498237,0.0168514
-0.111512926,0.008564198,-0.205786807,0.019817659
-0.12393556,0.015725504,-0.24620752,0.014520098
0.054381896,0.008756274,-0.108884745,0.019206254
-0.252076356,0.010815912,-0.275942197,0.02039399
-0.248837221,0.010311711,-0.240140155,0.017289831
-0.092669563,0.013255503,-0.234112817,0.006786088
0.048296586,0.014530373,-0.060788376,0.011526828
-0.345701591,0.009359664,-0.251096351,0.0171545
-0.164655744,0.012389444,-0.364508296,0.013109829
-0.077140495,0.015147079,-0.182686891,0.016269226
-0.031337501,0.014028052,-0.126136671,0.016294187
-0.325761512,0.012843194,-0.30266122,0.012229402
-0.192339961,0.011060741,-0.258922654,0.019768176
0.01023773,0.009440986,-0.17135937,0.019421547
0.123459246,0.012854455,0.045435078,0.017836993
-0.399705204,0.009470914,-0.38250115,0.020906424
-0.06048742,0.011057962,-0.347497791,0.020945347
-0.202467866,0.012517256,-0.174516051,0.014424855
0.114380836,0.012580205,0.02439084,0.021211004
