GCGC,GCGCerrors,GCGG,GCGGerrors
-0.058094474,0.009220703,-0.112937319,0.006512009
0.032726252,0.00777029,-0.091554773,0.011606402
-0.152216079,0.010441589,-0.193943724,0.010898069
0.026728666,0.01012793,-0.140765427,0.016610392
0.001633612,0.007705178,-0.171929729,0.007518363
0.00805388,0.008288473,-0.141789963,0.01190459
-0.188809776,0.005593784,-0.19252119,0.008849926
0.02826665,0.009110092,-0.032960361,0.012895959
-0.056883595,0.008640026,-0.161832385,0.011005803
-0.074101475,0.008816859,-0.180468397,0.010205122
-0.130788515,0.006610904,-0.191622473,0.009998809
0.110917951,0.008305584,-0.005277987,0.006951491
-0.02915022,0.007667968,0.001660461,0.011389457
-0.095874093,0.012162518,-0.266986488,0.007100232
-0.141407991,0.006759898,-0.27921368,0.008683009
0.115576669,0.008421278,0.005338464,0.011359978
-0.005516793,0.007056301,-0.116853548,0.00950165
-0.048006128,0.007687038,-0.261958596,0.008870893
-0.162347017,0.009445534,-0.219067721,0.013544381
0.065014303,0.00904684,0.058678622,0.010720268
-0.035360754,0.005957309,-0.085849985,0.011290296
-0.068234818,0.008330858,-0.152276757,0.012284888
-0.109024361,0.00869396,-0.231968578,0.012248709
0.061764298,0.007262914,-0.069105923,0.010572357
0.03214934,0.00701681,-0.202329849,0.014448776
-0.071705467,0.005874595,-0.137035654,0.010590078
-0.142092859,0.007612534,-0.20291072,0.007830301
0.030793352,0.011853587,0.00307498,0.010547745
0.00602869,0.011224434,-0.102344204,0.012208852
-0.102300277,0.008173347,-0.200818005,0.015032528
-0.138600931,0.008069913,-0.216238005,0.00734373
0.084016884,0.00874014,-0.01980103,0.006527147
0.05193182,0.008305576,-0.001769072,0.007658889
-0.082686732,0.009329937,-0.280763146,0.009978481
-0.163914297,0.012525895,-0.168801667,0.014359927
0.043813575,0.009939753,-0.087867358,0.007284257
0.125509284,0.009659624,0.12428872,0.009740939
-0.187260647,0.007409002,-0.403855101,0.012098614
-0.102397892,0.008448766,-0.11438138,0.014378372
0.013293621,0.010691176,-0.145253481,0.008800468
0.255894023,0.012946098,0.296781257,0.019692449
-0.372838992,0.009346184,-0.597343761,0.015148276
-0.283631849,0.00677905,-0.409843863,0.011045719
0.249721183,0.006883777,0.171205123,0.011124143
0.288108708,0.009894314,0.176710916,0.013753239
-0.538298462,0.009443809,-0.604764881,0.013254858
-0.257854134,0.008524439,-0.44220288,0.011253357
0.357188254,0.007538463,0.331055601,0.015686681
0.335399004,0.007162581,0.243610899,0.005489068
-0.667221349,0.009917613,-0.642748209,0.017799743
-0.412814537,0.009720718,-0.539646225,0.013819687
0.593781248,0.011375889,0.399582292,0.009623865
0.194187405,0.006108623,-0.133298379,0.011918411
-0.61672415,0.008357765,-0.711691165,0.014239769
0.118173078,0.009013148,0.221575833,0.013046181
0.153508032,0.010815668,0.084212469,0.008587959
-0.147593174,0.008248717,-0.239395918,0.010766898
0.145870079,0.00795434,-0.119103534,0.011671374
0.795819654,0.007000917,0.110447499,0.011410383
-0.944952192,0.008369069,-0.29114929,0.01840624
-1,0,-1,0
0.746527803,0.00709805,-0.065588909,0.013127975
0.312638314,0.010520907,0.339283389,0.008674308
-0.210021752,0.009512071,0.187104277,0.010160089
0.004829649,0.010428148,-0.099474143,0.005635219
0.45115471,0.005893755,-0.081166988,0.011970846
-0.698954273,0.013067631,-0.678477068,0.008517145
0.09211428,0.008082744,0.319916956,0.016538034
0.433493445,0.010444805,0.449365571,0.017591037
-0.388102065,0.008679429,-0.531113475,0.012654444
-0.623293454,0.014269633,-0.565214159,0.010402468
0.42704644,0.009964014,0.10776082,0.012042071
0.296855107,0.009043185,0.2004546,0.012025183
-0.211761576,0.009050268,-0.449405881,0.011562566
-0.46840247,0.009408216,-0.506319458,0.009877983
0.232453304,0.006138941,0.216069496,0.016945688
0.23466155,0.008351841,0.036010731,0.015593662
-0.263574028,0.007788603,-0.428949755,0.00753021
-0.400357504,0.010061884,-0.393281883,0.00849722
0.278414347,0.006318226,0.247019663,0.014195342
