GCGC,GCGCerrors,GCGG,GCGGerrors
6.03E-03,0.005829869,-5.05E-02,0.011650877
-0.030838308,0.030388622,0.02424045,0.02562844
-0.101230394,0.027080878,-0.008764564,0.023909324
0.042455794,0.025696353,-0.036319963,0.02663084
-0.06287381,0.027480143,-0.096708499,0.028295447
0.030302915,0.024564006,0.021919821,0.014575535
-0.089789795,0.028720849,-0.020532785,0.034067497
0.012158858,0.024786028,-0.00152424,0.021939533
-0.051726712,0.02638669,-0.193344464,0.027900681
-0.016953096,0.027111562,0.027735859,0.029348845
-0.092052217,0.028176984,-0.071033996,0.021755827
0.050530192,0.023766199,0.139796898,0.019359906
-0.074439049,0.027272673,0.083981866,0.019949152
-0.036474529,0.026073188,-0.058693268,0.019397538
-0.057369598,0.029344665,-0.053907995,0.033257232
0.058081344,0.023343987,-0.068226306,0.024373589
-0.049477154,0.026975276,-0.151006071,0.02763735
-0.029297718,0.026667692,0.017892771,0.024465192
-0.066338926,0.027062161,-0.077240068,0.032666555
0.034911965,0.025041949,0.113507666,0.018830591
-0.062383482,0.030519222,-0.018775871,0.028496849
-0.017258331,0.022290782,0.040788531,0.020142976
-0.006779225,0.026305985,-0.01603614,0.024359753
-0.023780794,0.026443797,-0.102822223,0.02529291
-0.042900689,0.026786027,-0.172421329,0.024368536
-0.006477058,0.026205374,0.005097857,0.025619686
-0.055118103,0.027038964,-0.023089744,0.029862897
-0.005705983,0.025857673,0.093567514,0.021366661
-0.055921039,0.028515992,-0.010387405,0.025223361
-0.020172463,0.025768223,0.047410957,0.026042617
-0.047623452,0.024263963,-0.073771496,0.031696193
0.01351512,0.027104534,-0.060097759,0.015619704
-0.029453643,0.025089014,-0.093888414,0.021613219
0.01647591,0.026418642,0.029186014,0.023818809
-0.045072114,0.027036144,0.025069347,0.024337377
-0.052151986,0.027819019,-0.05721265,0.031230362
-0.052131034,0.026780395,-0.045109102,0.025128577
-0.01748114,0.022539198,-2.33E-02,0.020751624
-0.009286164,0.026907122,0.095159485,0.023312799
-0.031303495,0.029658283,-0.123640856,0.02962818
0.010326677,0.025543826,0.079206698,0.026349764
-0.093393349,0.027053648,-0.232766277,0.022850516
-0.058206491,0.027940677,-0.130283186,0.023169419
0.031071331,0.024938442,0.186997062,0.029602447
0.162928371,0.02086426,0.405943258,0.018429811
-0.303082029,0.032908762,-0.446187303,0.034311893
-0.114450654,0.029375044,-0.376034418,0.031718422
0.144402479,0.021944051,0.319432759,0.018694655
0.198055786,0.018725694,0.477999913,0.020925203
-0.382564636,0.037901938,-0.633156685,0.041622454
0.111974468,0.022960948,0.22915839,0.019207354
-0.037667451,0.025799641,-0.170847321,0.033382262
-0.109627748,0.026129125,-0.38241588,0.027909181
-0.05133929,0.025415832,-0.392650557,0.03199918
-0.09795061,0.028882709,0.217692364,0.020390017
0.148715814,0.025204773,0.460528369,0.024294013
-0.201065577,0.030618918,-0.240760717,0.032539051
0.140775761,0.022108492,0.273354804,0.020790491
0.462921602,0.015620094,0.032464041,0.02722313
-0.512833619,0.036841127,-0.161903831,0.02379641
-0.329933752,0.033869126,-0.608365697,0.030517616
0.323878095,0.017346617,-0.156279685,0.031744576
0.257432425,0.020572971,0.758441466,0.017694612
-0.361578602,0.034865667,-0.090641787,0.023412028
0.059533364,0.021992264,0.070596132,0.02656895
0.23770807,0.020919126,0.100063247,0.023623367
-0.243598153,0.031943375,-0.22826702,0.034465429
-0.163845113,0.030797535,-0.039238062,0.018383841
-0.097547773,0.027777398,0.203893562,0.019175393
0.070783515,0.024841661,-0.099926588,0.028482289
-0.31400709,0.032581051,-0.351083538,0.031597278
0.230569515,0.020399999,0.150270861,0.023393737
0.067051488,0.024136012,0.115741643,0.020298661
-0.123218012,0.026037995,-0.213193961,0.030867991
-0.217997595,0.032037091,-0.395183472,0.0287014
0.163962286,0.023171791,0.395790087,0.022283083
0.061585178,0.028179381,0.040419923,0.027489813
-0.030219331,0.025535169,-0.075570857,0.023353323
-0.101434037,0.027100666,-0.123900719,0.025094189
-0.040133643,0.02495743,0.062205949,0.024294581
-0.097902235,0.030105854,-2.48E-02,0.025013615
0.005907241,0.024066604,-0.051696147,0.025076908
0.027337372,0.025558111,-0.089422666,0.016976247
-0.04554421,0.025943354,0.069063984,0.029670213
0.007105863,0.022222775,-0.047230897,0.020862186
-0.044510419,0.028005769,-0.017462737,0.030134704
-0.027796965,0.029911754,-0.017756339,0.022105913
-0.045000312,0.025441119,-0.01439573,0.022951557
-0.052382503,0.026513674,0.057534144,0.01927814
-0.034781518,0.025758233,-0.106044188,0.026980125
0.01248856,0.02714353,-0.01306995,0.031590707
-0.035526371,0.026370099,-0.035265708,0.023917139
-0.017916049,0.024222444,0.050286877,0.024973955
-0.007865558,0.027216454,0.005004714,0.029094279
-0.008926684,0.025285259,-0.031511462,0.026236787
-0.075493542,0.029427337,-0.120625832,0.026267264
-0.032245741,0.024049272,-0.046358697,0.017267015
-0.040322743,0.027862155,0.017707282,0.027178245
0.003629031,0.026848617,-0.017076337,0.029040405
-0.04126238,0.026444145,-0.051117951,0.026602491
0.039117687,0.023201952,0.065667898,0.022662091
-0.0832159,0.027793288,-0.0751496,0.024722506
-0.023051796,0.027849847,-0.046814647,0.031472671
-0.043051823,0.026890363,-0.040549354,0.022123663
-0.034499714,0.027873376,0.105842697,0.019777772
0.003793413,0.025538553,-0.055458272,0.029212928
-0.047856863,0.027413659,-0.150825863,0.02785415
-0.031638669,0.024868229,0.003595734,0.020781857
0.04965501,0.022988639,0.051804076,0.017043976
-0.111888311,0.028928832,-0.097759601,0.021766596
0.014149297,0.025791731,-0.061923059,0.029906087
-0.062117829,0.027831523,0.011032881,0.031701432
0.037698233,0.026980962,0.1956479,0.020519324
-0.057480993,0.025859817,-0.165837963,0.030022577
-0.055376261,0.027706442,-0.136390935,0.030664195
-0.035042812,0.025529438,0.009735295,0.023794939
0.050637373,0.023403359,0.177453379,0.023945854
-0.071646651,0.029275853,-0.22117975,0.028102345
-0.051665786,0.025506564,-0.020775927,0.025907133
-0.037526769,0.027276611,-0.032343405,0.027407482
0.009808474,0.025473431,0.017359785,0.024744414
-0.104122171,0.029379452,-0.142283932,0.025166383
-0.062367095,0.02768412,-0.056587531,0.036328034
-0.021031563,0.026215488,-0.118343899,0.034598655
-0.047417922,0.028753097,-0.058502547,0.02062844
0.075913516,0.02276476,0.054733734,0.022712297
0.069654529,0.028396732,0.078888466,0.022614792
-0.021820298,0.027160354,-0.057600807,0.022000727
-0.009125575,0.026464727,-0.089179564,0.033434469
-0.039072763,0.027423824,-0.051779846,0.036220643
-0.069915774,0.026904346,-0.001947974,0.039539088
-0.062324883,0.031570934,-0.063316859,0.02532697
-0.028895649,0.022674827,-0.046649933,0.033693657
-0.040517782,0.029436036,0.032869831,0.026513358
-0.044763371,0.029959622,-0.019889995,0.034081319
-0.037847473,0.020878239,0.08305806,0.025279649
-0.135481083,0.030786888,-0.015156499,0.034381662
0.005807879,0.024139175,-0.05550845,0.03678659
0.021779954,0.030889548,-0.14891551,0.024550714
-0.024310169,0.028658779,0.09151418,0.01839061
-0.067840901,0.030833553,-0.081396435,0.032342544
-0.065140067,0.035124528,0.071442478,0.0314588
-0.076245682,0.026924879,-0.084077075,0.038034435
-0.014090169,0.025284214,0.057667066,0.025693901
-0.018230737,0.022833167,0.100828854,0.021691201
-0.00025624,0.01826365,0.066069736,0.021578506
