e2f1averages,e2f1errors,e2f4averages,e2f4errors
0.00533057,0.001196652,-0.005630107,0.00132577
0.010395634,0.001684238,0.005171346,0.001341319
-0.014350188,0.003000517,0.001628051,0.000990451
-0.001376017,0.002638027,-0.00116929,0.001529734
-0.008944862,0.002476831,-0.00767506,0.000859776
-0.00160471,0.00146206,0.00470937,0.001032071
-0.014161416,0.00134579,0.000658186,0.001260986
0.024710987,0.001747801,0.002307504,0.001409719
-0.006500673,0.001630276,-0.018179178,0.001302553
-0.01112392,0.000963149,0.005710997,0.00117124
-0.013963102,0.001209292,-0.005046012,0.00072891
0.031587695,0.002009114,0.017514193,0.001075193
0.033201723,0.001588583,0.011525267,0.000907162
-0.032323537,0.001173385,-0.003830268,0.000944689
-0.035177659,0.001540855,-0.00300634,0.001271218
0.034299473,0.001856875,-0.004688659,0.000692926
0.00445672,0.001731486,-0.013507645,0.001223467
-0.03083815,0.001806242,0.004402199,0.000983767
-0.020777909,0.002394645,-0.005431486,0.001259221
0.047159339,0.001521846,0.014536932,0.001650273
0.011803292,0.001592627,0.000709384,0.000813805
-0.004276681,0.00172329,0.006872697,0.000770276
-0.023696927,0.001627859,0.000964275,0.001005419
0.016170316,0.003191899,-0.008546356,0.001410673
-0.01673299,0.002337653,-0.015812586,0.000923751
-0.000552297,0.001907356,0.003186445,0.001053164
-0.016457245,0.002138115,0.000263876,0.000959914
0.033742532,0.001863948,0.012362265,0.001459809
0.007760671,0.002424181,0.001377112,0.001016055
-0.01615991,0.002328523,0.007833969,0.001108958
-0.019780332,0.000794328,-0.005210324,0.001117487
0.028179572,0.001763132,-0.004000757,0.001218518
0.032582179,0.002015342,-0.007477015,0.000796852
-0.035656554,0.000980092,0.005680355,0.001280777
-0.008418648,0.002238989,0.005255343,0.001313659
0.011493022,0.001629575,-0.003458684,0.001301204
0.063178501,0.001895213,-0.002115436,0.000674639
-0.065548669,0.002017019,-6.06E-05,0.001097797
0.004936889,0.001963253,0.012649016,0.001089286
-0.002566722,0.002140731,-0.010472964,0.000928578
0.105011361,0.002748141,0.011195084,0.00132307
-0.112711572,0.001903242,-0.022379945,0.001428642
-0.067068473,0.00143435,-0.011469173,0.001180042
0.074768684,0.003409321,0.022654034,0.001517369
0.075738811,0.002243289,0.045909664,0.000986682
-0.114535321,0.001911995,-0.044944802,0.000843274
-0.074929702,0.001204076,-0.037488021,0.001587171
0.113726212,0.002878442,0.03652316,0.001298703
0.092435689,0.002347812,0.053421244,0.001634223
-0.123944423,0.002864282,-0.064724477,0.001790893
-0.098827894,0.002087009,0.026749225,0.001119653
0.130336628,0.001518825,-0.015445992,0.001523748
0.000358792,0.002129996,-0.038238825,0.001093249
-0.140866593,0.003407618,-0.039221719,0.00068963
0.08701144,0.00186724,0.025948692,0.001170881
0.053496361,0.001844147,0.051511851,0.001386973
-0.025624362,0.00170801,-0.023144947,0.001240755
0.004056479,0.002068644,0.031907772,0.001452627
0.060185693,0.002776057,0.006274659,0.001491633
-0.03861781,0.004679236,-0.015037484,0.002022579
-0.211497867,0.003840974,-0.062356016,0.001738624
0.017012206,0.00181937,-0.013972174,0.001185297
0.115861124,0.001752897,0.083461586,0.000928096
0.078624537,0.001443928,-0.007133395,0.000631636
0.008693943,0.001518344,0.010117685,0.001123188
0.013014859,0.001901179,0.013170492,0.001438599
-0.132742004,0.002219695,-0.021542549,0.001232464
0.111033201,0.002708106,-0.001745628,0.001157916
0.142353243,0.002349429,0.024190576,0.001300714
-0.096556959,0.001206856,-0.008057999,0.001273288
-0.105030351,0.002111563,-0.034759851,0.001063246
0.059234067,0.002361305,0.018627274,0.000939153
0.081880376,0.002450815,0.014760562,0.001243783
-0.076683917,0.001898083,-0.01998768,0.000694101
-0.090602851,0.0015159,-0.03953179,0.000670008
0.085406392,0.002407012,0.044758908,0.001212266
0.041848791,0.002677039,0.006894345,0.001337018
-0.071833631,0.001970455,-0.005535053,0.000979823
-0.063125828,0.001846308,-0.010656494,0.00105157
0.093110668,0.002536268,0.009297202,0.001069303
0.007623943,0.003091775,-7.97E-05,0.000586824
-0.05075313,0.001793613,-0.002883519,0.001227876
-0.027407578,0.002259563,-0.007184392,0.000928949
0.070536765,0.001621916,0.010147584,0.001154303
0.036273734,0.002017516,-0.002481741,0.000725628
-0.051100609,0.001767411,0.000748631,0.001261575
